0  364	-127	82	367	148	-34
96	-16	-7	-82	-434	231	93
224	-8	-55	-178	-12	-453	-31
352	-28	-71	442	179	383	42
448	116	-107	-18	196	-184	-150
576	-68	-275	-378	-81	-394	14
672	104	37	154	101	166	62
800	20	-151	262	346	400	49
928	128	-207	90	299	-179	94
1024	0	-127	162	-61	123	-60
1152	28	-151	-102	-111	137	289
1280	120	-211	-14	-32	313	4
1376	-148	-359	-354	-3163	177	-739
1504	-1556	-1431	20274	-3770	7787	789
1632	-3148	-1323	4830	-3598	658	-2079
1728	308	-1571	-854	306	-1896	-3487
1856	808	-1619	-166	-715	438	-2950
1984	1412	-803	-2650	569	8459	-1549
2080	-1952	-1783	-2218	-235	21770	3894
2208	-4004	1	-7258	2035	31667	10690
2336	-7232	-4083	-4666	-139	18208	5241
2432	-8412	-2479	-4162	-655	12852	4877
2560	-7116	-795	-7414	-2502	9959	4597
2688	-7140	-335	-8926	-1214	3135	2688
2784	-7888	-1315	-7822	115	-10115	-4183
2912	-7100	-99	-8078	1896	-23252	-7311
3040	-5520	-563	-4290	1429	-30201	-5532
3136	-2576	-3019	-2506	-901	-32444	-12393
3264	680	-2631	-322	-3075	-16801	-7044
3392	3276	-3003	-2118	-732	-9874	-2756
3520	4576	-3431	-2590	-1258	-5328	-1480
3616	5084	-3303	-4058	-2299	4739	673
3744	3776	-1743	-5910	-3689	24105	12183
3872	-4500	-4035	714	1565	29746	19737
3968	-4384	-2675	-3590	1426	14554	10011
4096	-5816	-2319	-5638	-1471	18328	6980
4224	-6788	-1455	-6818	964	11168	7239
4320	-6808	-179	-8078	1416	9348	8876
4448	-8084	353	-8686	581	16507	8457
4576	-6836	1665	-9746	-2421	55	-1772
4672	-7648	1233	-8070	-3860	-12847	-10307
4800	-7472	837	-5862	570	-27383	-15106
4928	-6048	-1927	-5198	85	-26337	-13982
5024	-2052	-2275	-4586	-715	-23027	-14032
5152	240	-3959	-1230	-1040	-13077	-9564
5280	2468	-2875	-1678	-99	-2640	-4061
5376	3284	-3059	-2114	-511	1460	38
5504	3140	-2839	-2558	-850	4722	1941
5632	2204	-3571	-846	-642	1626	551
5728	2344	-3259	-2210	-1946	5232	1979
5856	-164	-2547	-3354	-4966	20234	13583
5984	-5176	-2427	-2342	335	23937	13070
6112	-5704	-2971	-3202	-118	9334	4879
6208	-5268	-2767	-6470	3171	7050	7254
6336	-6400	-1071	-8538	3931	12215	9106
6464	-7816	-79	-7638	600	8629	6796
6560	-7416	953	-7386	-1206	1800	2616
6688	-6664	1121	-9062	-524	-1079	-451
6816	-6792	1029	-7650	-629	-10639	-7453
6912	-6816	-295	-6790	1732	-17749	-4491
7040	-6460	-1327	-5586	-114	-12548	-6618
7168	-3740	-463	-4726	-1027	-11579	-3631
7264	-2808	-1183	-910	789	-14632	-3077
7392	-1840	197	890	-2915	-19036	6465
7520	-1588	1457	-3522	2475	-4787	17249
7616	-1420	-2407	-3214	-376	2727	8019
7744	-2072	-2603	470	-2652	1166	4152
7872	-936	-1431	-158	4577	-2092	-4002
7968	-192	-387	254	-1301	-9913	677
