0  -172	0	-25	-18	-158	-4
512	-188	64	-53	23	153	19
1056	-28	-4	-29	-3	132	3
1568	200	-168	-21	-8	-498	8
2080	244	0	-125	-3	-141	4
2592	-64	60	271	5	169	-3
3104	24	-32	23	-2	151	-12
3648	228	-8	-313	4	-154	12
4160	232	-12	119	-6	-317	3
4672	-172	-60	39	19	79	9
5184	12	-12	355	37	206	-91
5728	0	292	-69	-2	14	-41
6240	-52	-32	63	18	-145	10
6752	256	20	-33	-14493	-2855	-559
7264	5232	-1376	-1905	-384	-636	-88
7808	5388	-976	-1225	-313	-391	151
8320	7844	-1648	-4509	1118	-350	-522
8832	7620	-1212	-3865	399	230	-68
9344	5720	-352	-4157	-1741	12621	-1296
9888	1036	300	815	-481	2094	403
10400	36	8	1519	37	3764	-57
10912	60	24	591	20	1149	21
11456	224	-12	183	16	293	25
11968	16	-360	367	219	851	-772
12480	6772	2276	-11753	11376	-1102	-6479
12992	6116	5628	-9225	4417	1570	-1621
13536	6756	1468	-8677	-26584	-5443	18416
14048	7164	-3224	-11629	-5469	-7969	11822
14560	6056	-4364	-12973	-1464	-58	-438
15104	7376	-1240	-11209	-5703	10266	-3278
15616	8480	-632	-8229	-1743	1282	2706
16128	8380	-1940	-8313	-651	222	-67
16640	8448	-1752	-8457	508	482	126
17184	8352	-1764	-7557	-2961	-54	438
17696	8524	-1980	-7917	-531	-3910	-867
18208	4728	-5020	-16757	-12835	13810	-790
18752	7308	1808	-1753	7950	11576	-9974
19264	2800	-1488	3563	4466	6445	9191
19776	360	3424	5663	8165	-15091	17367
20288	6992	-1080	-5625	16936	2485	19557
20832	5532	-6568	-4537	-29600	7893	-17411
21344	8052	-4168	-8217	9500	2754	3851
21856	7692	5068	-6861	27447	3074	8765
22400	7764	-2936	-8237	32598	-2592	-695
22912	8164	-292	-5465	-10914	12891	7603
23424	8476	1620	-4917	7469	862	-2619
23968	8300	-3088	-2765	-13905	-856	-4832
24480	8540	-1336	-6905	-11636	-1201	-3232
24992	7884	-840	-3533	-6871	1057	-3664
25504	7544	-2000	-4729	-2084	-952	455
26048	7520	-1344	-4581	-930	303	-251
26560	7832	-3448	-6205	-15816	-506	-2054
27072	7636	-2400	-6909	29003	-11	7596
27616	6956	-396	-3037	9314	973	1531
28128	6748	-1920	-1977	-18538	-2711	-2867
28640	7620	-3956	-6993	-14568	-1185	-2715
29184	8064	-2248	-10553	-9745	-81	-965
29696	7868	684	-11849	32598	-521	2748
30208	8048	-3692	-8401	241	3647	-182
30720	7888	-3520	-6033	16708	3441	-3299
31264	8156	-4024	-6145	19370	9054	-2402
31776	8460	1588	-5309	18534	1885	2651
32288	7468	-2832	-3497	32598	5485	-2467
32832	5384	3136	-15253	-19991	799	4542
33344	-1312	-3824	3823	5413	1915	-6396
33856	4684	-5972	-13389	-1504	-22958	15333
34400	4832	2752	-8397	4852	-32517	21285
34912	4752	-352	-8429	28637	-32516	-2680
35424	848	-14416	-9885	7346	8175	24523
35936	5144	-1972	-3337	-870	-13419	-29232
36480	3904	-5076	-12453	19420	1113	14497
36992	3512	2136	-2765	2677	-20336	-25478
37504	3992	464	-6813	22552	18287	29251
38048	4568	1864	-3709	466	-16224	-25489
38560	3548	432	-16005	20598	-32517	17048
39072	5080	6416	-2381	3312	-9053	-20629
39616	4056	-800	-8541	10458	19357	32553
40128	3424	3072	-3829	-1049	-17750	-25024
40640	5132	-8188	-533	-2429	16075	-9853
41184	5484	7248	-4817	12508	-10442	25851
41696	4208	1776	-437	-913	-14484	-22524
42208	4508	-6536	-605	-5160	4679	-26871
42720	6152	-3580	755	-4566	-1023	-10268
43264	5056	-11604	-8353	-4151	4480	-4212
43776	5136	8252	-10905	17582	-5041	32553
